Symbol, Revenues 2022, Revenues 2021, Revenues 2020, Revenues 2019,Emissions 2022,Emissions 2021,Emissions 2020,Emissions 2019,Total Esg,Environment Score,Social Score,Governance Score,Esg Performance
GLW,"$14,189,000,000","$14,082,000,000","$11,303,000,000","$11,503,000,000","1,277,010","1,267,380","1,017,270","1,035,270",19.42,7.3,5.24,6.87,Bad
CTVA,"$17,455,000,000","$15,655,000,000","$14,217,000,000","$13,846,000,000","9,966,805","8,939,005","8,117,907","7,906,066",No fundamentals data found for any of the summaryTypes=esgScores,,,,
CSGP,"$2,182,399,000","$1,944,135,000","$1,659,019,000","$1,399,719,000","67,654","60,268","51,430","43,391",26.94,5.45,13.12,8.38,Average
COST,"$242,290,000,000","$226,954,000,000","$195,929,000,000","$166,761,000,000","47,004,260","44,029,076","38,010,226","32,351,634",24.19,7.26,11.21,5.72,Average
CTRA,"$9,051,000,000","$3,449,000,000","$1,466,000,000","$1,985,000,000","1,755,894","669,106","284,404","385,090",46.02,24.13,13.11,8.78,Leader
CCI,"$6,986,000,000","$6,340,000,000","$5,840,000,000","$5,763,000,000","48,902","44,380","40,880","40,341",13.2,5.21,2.92,5.06,Bad
CSX,"$14,853,000,000","$12,522,000,000","$10,583,000,000","$11,937,000,000","490,149","413,226","349,239","393,921",20.09,7.45,9.19,3.44,Average
CMI,"$28,074,000,000","$24,021,000,000","$19,811,000,000","$23,571,000,000","196,518","168,147","138,677","164,997",19.36,5.8,7.5,6.06,Bad
CVS,"$321,629,000,000","$290,912,000,000","$267,908,000,000","$255,765,000,000","10,613,757","9,600,096","8,840,964","8,440,245",22.86,0.03,16.39,6.44,Average
DHI,"$33,480,000,000","$27,774,200,000","$20,311,100,000","$17,592,900,000","234,360","194,419","142,178","123,150",21.74,9.35,6.66,5.74,Average
DHR,"$31,471,000,000","$29,453,000,000","$22,284,000,000","$17,911,000,000","6,105,374","5,713,882","4,323,096","3,474,734",11.73,1.35,5.16,5.22,Bad
DRI,,"$9,630,000,000","$7,196,100,000","$7,806,900,000",0,"1,868,220","1,396,043","1,514,539",27.99,8.43,15,4.57,Average
DVA,"$11,609,894,000","$11,618,797,000","$11,550,604,000","$11,388,479,000","81,269","81,332","80,854","79,719",22.56,0.07,14.08,8.42,Average
DE,"$52,563,000,000","$43,983,000,000","$35,514,000,000","$39,233,000,000","30,013,473","25,114,293","20,278,494","22,402,043",16.64,3.19,6.9,6.55,Bad
DAL,"$50,582,000,000","$29,899,000,000","$17,095,000,000","$47,007,000,000","354,074","209,293","119,665","329,049",26.13,9.52,11.46,5.15,Average
XRAY,"$3,922,000,000","$4,231,000,000","$3,339,000,000","$4,022,000,000","2,239,462","2,415,901","1,906,569","2,296,562",15.78,2.21,6.86,6.71,Bad
DVN,"$18,873,000,000","$13,117,000,000","$4,673,000,000","$6,674,000,000","585,063","406,627","144,863","206,894",36.69,20.71,8.15,7.83,Great
DXCM,"$2,909,800,000","$2,448,500,000","$1,926,700,000","$1,476,000,000","55,286","46,522","36,607","28,044",23.7,5.39,10.24,8.08,Average
FANG,"$9,083,000,000","$6,398,000,000","$2,756,000,000","$3,951,000,000","81,747","57,582","24,804","35,559",No fundamentals data found for any of the summaryTypes=esgScores,,,,
DLR,"$4,678,337,000","$4,426,165,000","$3,845,980,000","$3,217,308,000","154,385","146,063","126,917","106,171",12.61,2.8,2.81,7,Bad
DFS,"$10,978,000,000","$11,869,000,000","$5,954,000,000","$8,228,000,000","362,274","391,677","196,482","271,524",22.57,0.13,11.87,10.58,Average
DIS,"$82,722,000,000","$67,418,000,000","$65,388,000,000","$69,607,000,000","217,889,748","177,579,012","172,231,992","183,344,838",14.88,0.06,7.92,6.9,Bad
DG,"$37,844,863,000","$34,220,449,000","$33,746,839,000","$27,753,973,000","1,248,880","1,129,275","1,113,646","915,881",17.36,3.27,8.56,5.53,Bad
DLTR,"$28,331,700,000","$26,321,200,000","$25,509,300,000","$23,610,800,000","5,496,350","5,106,313","4,948,804","4,580,495",14.87,3.4,7.41,4.06,Bad
D,"$17,174,000,000","$13,964,000,000","$14,172,000,000","$14,401,000,000","15,765,732","12,818,952","13,009,896","13,220,118",25.38,11.11,8.55,5.73,Average
DPZ,"$4,537,158,000","$4,357,373,000","$4,117,411,000","$3,618,774,000","11,950,874","11,477,320","10,845,261","9,531,851",31.02,7.73,16.68,6.62,Great
DOV,"$8,508,088,000","$7,907,081,000","$6,683,760,000","$7,136,397,000","22,410,304","20,827,251","17,605,024","18,797,270",25.27,7.12,12.38,5.77,Average
DOW,"$56,902,000,000","$54,968,000,000","$38,542,000,000","$42,951,000,000","52,236,036","50,460,624","35,381,556","39,429,018",No fundamentals data found for any of the summaryTypes=esgScores,,,,
DTE,"$19,228,000,000","$14,964,000,000","$11,423,000,000","$12,168,000,000","17,651,304","13,736,952","10,486,314","11,170,224",30.09,15.28,10.04,4.77,Great
DUK,"$28,319,000,000","$24,201,000,000","$22,951,000,000","$24,658,000,000","5,493,886","4,694,994","4,452,494","4,783,652",27.63,14.49,8.57,4.56,Average
DD,"$13,017,000,000","$12,566,000,000","$11,128,000,000","$15,436,000,000","429,561","414,678","367,224","509,388",28.95,13.44,8.12,7.39,Average
EMN,"$10,580,000,000","$10,476,000,000","$8,473,000,000","$9,273,000,000","9,712,440","9,616,968","7,778,214","8,512,614",24.6,11.98,5.42,7.2,Average
ETN,"$20,752,000,000","$19,628,000,000","$17,858,000,000","$21,390,000,000","54,660,768","51,700,152","47,037,972","56,341,260",17.85,5.37,6.76,5.72,Bad
EBAY,"$9,795,000,000","$10,420,000,000","$8,894,000,000","$7,429,000,000","68,565","72,940","62,258","52,003",17.11,0.93,9.33,6.84,Bad
ECL,"$14,187,800,000","$12,733,100,000","$11,790,200,000","$12,562,000,000","127,690","114,598","106,112","113,058",24.09,9.48,8.44,6.17,Average
EIX,"$17,220,000,000","$14,905,000,000","$13,578,000,000","$12,347,000,000","120,540","104,335","95,046","86,429",27.43,10.73,11.2,5.5,Average
EW,"$5,382,400,000","$5,232,500,000","$4,386,300,000","$4,348,000,000","37,677","36,628","30,704","30,436",19.33,2.86,8.85,7.63,Bad
EA,,"$6,991,000,000","$5,629,000,000","$5,537,000,000",0,"1,356,254","1,092,026","1,074,178",10.36,0.13,5.52,4.72,Bad
ELV,"$156,599,000,000","$138,643,000,000","$121,868,000,000","$104,212,000,000","3,758,376","3,327,432","2,924,832","2,501,088",11.48,0.03,5.76,5.69,Bad
